,0
0,Zimmerman verdict renews focus on 'stand your ground' laws
1,Senate Immigration Bill Passes Out Of Judiciary Committee | HuffPost Latest News
2,Don’t let DOMA fool you — the Supreme Court is restricting your rights - The Washington Post
3,"ObamaCare in Trouble? Exchange provision delayed, as lawmakers push to repeal another | Fox News"
4,Exclusive: Immigration Agents Rip House Lawmakers Pushing Amnesty
5,Finalized rules let religious groups opt out of contraception mandate - CNNPolitics
6,NULL
7,Cispa bill on cyber security passed by the US House - BBC News
8,"Microsoft let NSA bypass encryption on mail, chats and cloud storage, says Guardian	"
9,NULL
10,Cha của Snowden 'chuẩn bị thăm con' - BBC News Tiếng Việt
11,Tampa socialite Jill Kelley: The saga continues
12,Young white dancer with her two black instructors handcuffed by Houston Police. Racism?
13,NULL
14,NULL
15,Senate Confirms Sri Srinivasan for Court Seat - The New York Times
16,President Obama to meet with head of Delta Sigma Theta sorority - The Washington Post
17,NULL
18,"Touré: MSNBC's All-White Primetime Lineup OK Because Hosts 'Brilliant,' 'Extraordinary' (VIDEO) | HuffPost Latest News"
19,Darrell Issa On IRS Investigation: Releasing Full Transcripts Now Would Be 'Reckless' | HuffPost Latest News
20,Michele Bachmann: IRS Scandal Undermines 2012 Election's 'Credibility' | HuffPost Latest News
21,C.I.A.’s Harsh Interrogations Pose Hurdles for John Brennan - The New York Times
22,"Labor secretary nominee accused of cutting 'secret deal,' costing taxpayers up to $200M | Fox News"
23,Are media casting Obama as disengaged? | On Air Videos | Fox News
24,New Democrat Coalition Issues Ultimatum On Immigration Reform | HuffPost Latest News
25,NULL
26,Biden apologizes to Obama for marriage controversy - CNNPolitics
27,John Kerry: Some NSA spying went too far - BBC News
28,Why Bibi Is Not Intimidated by Obama
29,MADD Okay with Illegals with DUIs Staying on America's Roads
30,NULL
31,NULL
32,NULL
33,NULL
34,NULL
35,"Republicans Expand I.R.S. Inquiry, With Eye on White House - The New York Times"
36,"IRS targeted groups critical of government, documents from agency probe show - The Washington Post"
37,NULL
38,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
39,IRS ‘BOLOs’ raise new questions about political targeting uproar - The Washington Post
40,NULL
41,"Karl Rove Talks IRS Scandal, Compares His Group To NAACP | HuffPost Latest News"
42,NULL
43,NULL
44,Huckabee: I'm James Rosen and so are you | On Air Videos | Fox News
45,NULL
46,NULL
47,Exception
48,10 Questions Obama Must Answer on IRS Scandal
49,"FBI under pressure to explain drone use, as Obama names new director | Fox News"
50,"U.S. News: Breaking News Photos, & Videos on the United States - NBC News | NBC News"
51,NULL
52,Meet the Press: Inside Takes on the Latest Stories with Chuck Todd | NBC News
