url,democrat.vote,republican.vote,bias
http://www.usatoday.com/story/news/nation/2013/07/15/stateline-zimmerman-stand-your-ground/2517507/,0,0,0
http://www.huffingtonpost.com/2013/05/21/senate-immigration-bill_n_3315271.html,0,0,0
http://www.washingtonpost.com/opinions/dont-let-doma-fool-you--the-supreme-court-is-restricting-your-rights/2013/06/28/cd0afa1c-de85-11e2-b94a-452948b95ca8_story.html,0,0,0
http://www.foxnews.com/politics/2013/04/03/obamacare-in-trouble-exchange-provision-delayed-as-lawmakers-push-to-repeal/,0,0,0
http://www.breitbart.com/Big-Government/2013/10/09/Exclusive-Immigration-agents-rip-Bob-Goodlatte-other-Republicans-Democrats-pushing-for-amnesty-in-House,0,0,0
http://www.cnn.com/2013/06/28/politics/obama-contraceptives/index.html,0,0,0
http://www.foxnews.com/politics/2013/10/14/amid-cuts-to-federal-courts-judge-suggests-congress-go-to-hell/,0,1,-1
http://www.bbc.co.uk/news/technology-22213379,0,0,0
http://www.nbcnews.com/technology/microsoft-let-nsa-bypass-encryption-mail-chats-cloud-storage-says-6C10607490,0,0,0
http://radio.foxnews.com/toddstarnes/top-stories/military-blocks-access-to-southern-baptist-website.html,0,0,0
http://www.bbc.co.uk/vietnamese/world/2013/08/130812_snowden_father_visit.shtml,2,2,0
http://www.usatoday.com/story/nation/2013/08/07/jill-kelley-general-david-petraeus-general-john-allen/2625981/,0,0,0
http://www.dailykos.com/story/2013/12/02/1259558/-Young-white-dancer-with-her-two-black-instructors-handcuffed-by-Houston-Police-Racism,1,-1,2
http://online.wsj.com/article/SB10001424127887323482504578227152762437278.html,0,0,0
"http://www.chicagotribune.com/news/opinion/editorials/ct-illinois-pension-reform-edit-1118-20131118,0,5239008.story",0,0,0
http://www.nytimes.com/2013/05/24/us/politics/senate-confirmation-srinivasan-pritzker.html,0,0,0
http://www.washingtonpost.com/local/president-obama-to-meet-with-head-of-delta-sigma-theta-sorority/2013/07/16/1b3d334c-ee37-11e2-a1f9-ea873b7e0424_story.html,0,0,0
"http://www.latimes.com/news/local/la-me-cap-guns-20130422,0,3042064.column",0,1,-1
http://www.huffingtonpost.com/2013/04/11/toure-msnbcs-all-white-pr_n_3062599.html,-2,-1,-1
http://www.huffingtonpost.com/2013/06/11/darrell-issa-irs-investigation-transcripts_n_3424166.html,-1,-1,0
http://www.huffingtonpost.com/2013/05/13/michele-bachmann-irs_n_3266274.html,-2,0,-2
http://www.nytimes.com/2013/03/07/us/politics/cias-harsh-interrogations-pose-hurdles-for-john-brennan.html,-1,0,-1
http://www.foxnews.com/politics/2013/04/15/labor-secretary-nominee-accused-quid-pro-quo-deal/,0,0,0
http://video.foxnews.com/v/2800623370001/are-media-casting-obama-as-disengaged/,-2,-1,-1
http://www.huffingtonpost.com/2013/08/02/new-democrat-coalition-immigration_n_3696937.html,-1,0,-1
http://online.wsj.com/news/articles/SB10001424052702304213904579093491966449908,-1,0,-1
http://www.cnn.com/2012/05/10/politics/obama-same-sex-marriage/index.html,1,-1,2
http://www.bbc.co.uk/news/world-us-canada-24768717,-2,1,-3
http://www.breitbart.com/Big-Peace/2013/01/21/Why-Bibi-Is-Not-Intimidated-by-Obama,-1,-1,0
http://www.breitbart.com/Big-Government/2013/06/18/MADD-OK-with-convicted-drunk-driver-illegal-aliens-staying-on-America-s-roads,-1,1,-2
http://www.breitbart.com/Big-Government/2013/05/21/sarah-palin-going-rogue-in-wrong-direction,-2,0,-2
http://online.wsj.com/article/SB10001424127887324767004578488833834357540.html,-2,1,-3
http://www.reuters.com/article/2013/06/11/us-usa-security-snowden-idUSBRE95A0TH20130611,-1,0,-1
http://www.reuters.com/article/2013/05/22/us-usa-irs-lerner-idUSBRE94L0OS20130522,-1,0,-1
http://online.wsj.com/news/articles/SB10001424052702304527504579169853503880212,-2,0,-2
http://www.nytimes.com/2013/05/18/us/politics/irs-scandal-congressional-hearings.html,-1,-1,0
http://www.washingtonpost.com/politics/irs-targeted-groups-critical-of-government-documents-from-agency-probe-show/2013/05/12/bb38e5bc-bb24-11e2-97d4-a479289a31f9_story.html,-1,0,-1
http://blogs.wsj.com/washwire/2013/07/12/democrats-step-up-criticism-of-irs-probe/,-1,0,-1
http://firstread.nbcnews.com/_news/2013/06/20/19060292-a-month-later-just-one-controversy-for-obama-goes-all-the-way-to-the-top,-1,0,-1
http://www.washingtonpost.com/politics/federal_government/irs-bolos-raise-new-questions-about-political-targeting-uproar/2013/07/04/e4988482-de77-11e2-b797-cbd4cb13f9c6_story_1.html,-1,0,-1
http://blogs.wsj.com/washwire/2013/05/15/boehner-says-prison-time-possible-in-irs-scandal/,-1,1,-2
http://www.huffingtonpost.com/2013/05/19/karl-rove-irs_n_3302754.html,0,0,0
